customer_id,gender,region,plan_type,tenure_months,total_usage,support_tickets,last_login_days,churn,avg_monthly_uasge,complaint_rate
1,Female,South,Premium,15,185.4962211944288,2,34,0,12.366414746295254,0.13333333333333333
2,Female,West,Basic,24,6553.319542114706,1,27,1,273.0549809214461,0.041666666666666664
3,Female,West,Premium,15,6344.29510573432,0,13,1,422.95300704895465,0.0
4,Female,West,Basic,50,5224.781350709784,1,35,1,104.49562701419569,0.02
5,Male,North,Premium,58,3854.164757897216,2,34,1,66.45111651546924,0.034482758620689655
6,Female,South,Standard,6,7994.697554866176,2,57,1,1332.449592477696,0.3333333333333333
7,Female,South,Standard,2,3504.419874790188,5,49,0,1752.209937395094,2.5
8,Female,East,Standard,5,2377.121493855352,3,5,1,475.4242987710704,0.6
9,Male,North,Standard,51,3169.942228219368,3,37,1,62.15572996508565,0.058823529411764705
10,Female,West,Standard,39,4452.514379519342,1,50,1,114.16703537229081,0.02564102564102564
11,Male,West,Premium,41,2219.1681412271214,1,20,1,54.126052225051744,0.024390243902439025
12,Male,South,Premium,34,6114.955337434317,0,27,1,179.85162757159756,0.0
13,Female,West,Premium,39,8853.671104867768,5,8,0,227.01720781712226,0.1282051282051282
14,Female,South,Premium,32,5995.055229204543,2,12,1,187.34547591264197,0.0625
15,Female,South,Standard,29,4522.016244026075,1,15,1,155.93159462158877,0.034482758620689655
16,Male,East,Basic,29,7989.000785626549,1,46,1,275.4827857112603,0.034482758620689655
17,Male,North,Standard,24,7505.582366457834,5,46,1,312.7325986024097,0.20833333333333334
18,Male,South,Premium,46,3733.875403153892,2,41,1,81.17120441638896,0.043478260869565216
19,Male,South,Standard,58,6081.119359587083,3,48,1,104.84688551012212,0.05172413793103448
20,Male,South,Standard,31,7325.444317148112,1,22,1,236.30465539187458,0.03225806451612903
21,Male,East,Standard,24,2530.086254392466,3,31,1,105.42026059968607,0.125
22,Female,South,Basic,55,3726.11140293348,6,45,1,67.74748005333599,0.10909090909090909
23,Female,North,Standard,15,1147.183098444708,5,32,0,76.4788732296472,0.3333333333333333
24,Male,North,Standard,12,9878.03475523765,2,53,1,823.1695629364708,0.16666666666666666
25,Female,West,Basic,20,950.1887391890442,3,44,1,47.50943695945221,0.15
26,Female,North,Standard,4,1769.2006387234164,1,47,0,442.3001596808541,0.25
27,Male,West,Standard,58,4850.336301674984,3,20,1,83.6264879599135,0.05172413793103448
28,Male,North,Standard,13,8666.19115209094,4,3,1,666.63008862238,0.3076923076923077
29,Female,West,Standard,41,3623.2320271847984,2,34,0,88.37151285816581,0.04878048780487805
30,Male,South,Standard,44,7709.101860560324,0,41,1,175.20686046728008,0.0
31,Male,East,Premium,10,6792.737325830737,2,51,1,679.2737325830738,0.2
32,Female,East,Standard,41,6422.774363880821,0,45,1,156.65303326538586,0.0
33,Male,East,Basic,53,8465.670784571717,2,43,1,159.7296374447494,0.03773584905660377
34,Female,South,Standard,23,240.285867323394,1,10,0,10.44721162275626,0.043478260869565216
35,Female,East,Premium,7,9298.615081747876,3,48,1,1328.3735831068393,0.42857142857142855
36,Female,North,Basic,57,8309.339185329301,1,36,1,145.77788044437372,0.017543859649122806
37,Female,West,Basic,12,9384.88547455309,6,40,1,782.0737895460908,0.5
38,Female,South,Standard,48,7956.520050181202,1,21,1,165.76083437877506,0.020833333333333332
39,Male,East,Premium,15,8798.054933797297,3,41,0,586.5369955864865,0.2
40,Male,North,Standard,7,2110.472677174844,5,57,1,301.49609673926346,0.7142857142857143
41,Male,North,Premium,8,3260.3677620828003,1,51,0,407.54597026035003,0.125
42,Male,South,Premium,7,3220.688033360236,0,52,0,460.09829048003377,0.0
43,Female,South,Standard,43,1180.7507841927618,1,48,1,27.459320562622366,0.023255813953488372
44,Female,East,Premium,4,7322.834627317448,1,12,1,1830.708656829362,0.25
45,Male,West,Standard,50,1448.091837602021,2,35,0,28.961836752040423,0.04
46,Female,East,Premium,51,619.8407441827004,0,51,0,12.153740082013734,0.0
47,Male,East,Basic,7,7776.924013545132,2,40,1,1110.9891447921616,0.2857142857142857
48,Male,South,Standard,59,9056.1653803461,1,36,1,153.49432848044236,0.01694915254237288
49,Male,East,Premium,59,7664.821144854819,1,18,1,129.91222279414947,0.01694915254237288
50,Female,East,Basic,45,8270.986907036566,3,57,1,183.799709045257,0.06666666666666667
51,Female,West,Basic,41,5996.654610524635,1,39,1,146.25986854938134,0.024390243902439025
52,Female,North,Basic,30,8888.688745356056,1,41,1,296.28962484520184,0.03333333333333333
53,Female,North,Basic,59,5017.364475342765,2,57,1,85.04007585326721,0.03389830508474576
54,Male,West,Standard,18,9884.393923025902,1,54,1,549.1329957236612,0.05555555555555555
55,Female,North,Premium,30,1123.808923417544,1,23,1,37.46029744725147,0.03333333333333333
56,Female,East,Basic,7,8110.8889963437,3,35,1,1158.6984280491,0.42857142857142855
57,Female,West,Premium,52,6449.755218511626,3,54,1,124.03375420214664,0.057692307692307696
58,Male,West,Premium,48,5848.396075389832,2,58,1,121.84158490395482,0.041666666666666664
59,Male,South,Premium,23,7285.524255525102,1,3,1,316.7619241532653,0.043478260869565216
60,Female,North,Standard,37,8418.886154908603,0,24,1,227.53746364617845,0.0
61,Female,South,Standard,7,8642.552261721048,2,30,1,1234.650323103007,0.2857142857142857
62,Female,East,Basic,38,1836.271533145452,1,20,1,48.322935082775054,0.02631578947368421
63,Female,West,Premium,29,2050.6557045543955,2,29,1,70.7122656742895,0.06896551724137931
64,Male,East,Standard,34,260.0484441846113,3,4,0,7.648483652488568,0.08823529411764706
65,Female,North,Standard,39,1405.2403321435004,6,3,0,36.03180338829488,0.15384615384615385
66,Female,South,Standard,53,2712.4366792142537,0,31,1,51.17805055121234,0.0
67,Female,North,Basic,41,7238.2546432478,1,4,1,176.54279617677562,0.024390243902439025
68,Male,East,Standard,45,4810.09833912485,2,48,0,106.89107420277445,0.044444444444444446
69,Male,South,Premium,59,7603.245002281772,1,15,1,128.868559360708,0.01694915254237288
70,Female,North,Standard,49,4916.704893416918,1,26,1,100.340916192182,0.02040816326530612
71,Female,East,Standard,49,5600.414783808687,5,11,1,114.29417926140178,0.10204081632653061
72,Female,North,Basic,47,1199.5592072764666,1,0,1,25.522536325031204,0.02127659574468085
73,Female,West,Premium,18,7787.927018292722,3,56,1,432.66261212737345,0.16666666666666666
74,Female,South,Standard,56,7605.452668775593,2,1,1,135.81165479956417,0.03571428571428571
